SK Size,PK Size,Key Gen Time,Sign Size,Sign Time,Verify Time,Name
64,32,0.231,9248,3.44,0.011,SPHINCS+ 128S
64,32,0.019,15824,0.679,0.021,SPHINCS+ 128F
96,48,0.105,19800,11.837,0.016,SPHINCS+ 192S
96,48,0.026,34440,0.969,0.031,SPHINCS+ 192F
128,64,0.272,34848,10.852,0.021,SPHINCS+ 256S
128,64,0.068,48352,1.969,0.029,SPHINCS+ 256F
64,32,0.604,6245,238.298,0.111,SPHINCS+C1 128S
64,32,0.025,14685,0.775,0.023,SPHINCS+C1 128F
96,48,0.474,13381,296.466,0.147,SPHINCS+C1 192S
96,48,0.029,32723,1.246,0.034,SPHINCS+C1 192F
128,64,0.747,25957,366.789,0.118,SPHINCS+C1 256S
128,64,0.079,46492,2.383,0.035,SPHINCS+C1 256F
64,32,0.543,5893,239.765,0.093,SPHINCS+C2 128S
64,32,0.019,13684,0.802,0.026,SPHINCS+C2 128F
96,48,0.473,12853,289.2,0.138,SPHINCS+C2 192S
96,48,0.028,31214,1.221,0.032,SPHINCS+C2 192F
128,64,0.831,25253,353.986,0.109,SPHINCS+C2 256S
128,64,0.073,44956,2.266,0.033,SPHINCS+C2 256F
64,32,0.485,5541,225.38,0.079,SPHINCS+C3 128S
64,32,0.016,12683,1.226,0.023,SPHINCS+C3 128F
96,48,0.416,12325,285.177,0.127,SPHINCS+C3 192S
96,48,0.025,29706,1.595,0.04,SPHINCS+C3 192F
128,64,0.652,24549,348.314,0.105,SPHINCS+C3 256S
128,64,0.069,43420,2.247,0.032,SPHINCS+C3 256F
64,32,0.447,5189,220.786,0.069,SPHINCS+C4 128S
64,32,0.013,11678,9.025,0.017,SPHINCS+C4 128F
96,48,0.352,11797,221.391,0.09,SPHINCS+C4 192S
96,48,0.017,28195,3.166,0.022,SPHINCS+C4 192F
128,64,0.469,23845,262.674,0.077,SPHINCS+C4 256S
128,64,0.051,41891,2.697,0.025,SPHINCS+C4 256F
